17/03/15 19:04:32 INFO client.RMProxy: Connecting to ResourceManager at euca-192-168-166-50.eucalyptus.internal/192.168.166.50:8032
17/03/15 19:04:33 WARN mapreduce.JobSubmitter: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/15 19:04:34 INFO input.FileInputFormat: Total input paths to process : 1
17/03/15 19:04:34 INFO mapreduce.JobSubmitter: number of splits:20
17/03/15 19:04:35 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1488988448355_1187
17/03/15 19:04:35 INFO impl.YarnClientImpl: Submitted application application_1488988448355_1187
17/03/15 19:04:35 INFO mapreduce.Job: The url to track the job: http://euca-192-168-166-50.eucalyptus.internal:8088/proxy/application_1488988448355_1187/
17/03/15 19:04:35 INFO mapreduce.Job: Running job: job_1488988448355_1187
17/03/15 19:12:52 INFO mapreduce.Job: Job job_1488988448355_1187 running in uber mode : false
17/03/15 19:12:52 INFO mapreduce.Job:  map 0% reduce 0%
17/03/15 19:31:08 INFO mapreduce.Job:  map 61% reduce 12%
17/03/15 19:31:10 INFO mapreduce.Job:  map 61% reduce 13%
17/03/15 19:31:12 INFO mapreduce.Job:  map 62% reduce 13%
17/03/15 19:31:17 INFO mapreduce.Job:  map 63% reduce 13%
17/03/15 19:31:21 INFO mapreduce.Job:  map 64% reduce 13%
17/03/15 19:31:23 INFO mapreduce.Job:  map 65% reduce 13%
17/03/15 19:31:26 INFO mapreduce.Job:  map 65% reduce 15%
17/03/15 19:31:27 INFO mapreduce.Job:  map 66% reduce 15%
17/03/15 19:31:30 INFO mapreduce.Job:  map 67% reduce 15%
17/03/15 19:31:32 INFO mapreduce.Job:  map 68% reduce 15%
17/03/15 19:31:34 INFO mapreduce.Job:  map 69% reduce 15%
17/03/15 19:31:37 INFO mapreduce.Job:  map 70% reduce 15%
17/03/15 19:31:38 INFO mapreduce.Job:  map 71% reduce 17%
17/03/15 19:31:41 INFO mapreduce.Job:  map 72% reduce 18%
17/03/15 19:31:44 INFO mapreduce.Job:  map 73% reduce 18%
17/03/15 19:31:47 INFO mapreduce.Job:  map 73% reduce 20%
17/03/15 19:31:48 INFO mapreduce.Job:  map 74% reduce 20%
17/03/15 19:31:52 INFO mapreduce.Job:  map 75% reduce 20%
17/03/15 19:31:54 INFO mapreduce.Job:  map 75% reduce 22%
17/03/15 19:31:55 INFO mapreduce.Job:  map 76% reduce 22%
17/03/15 19:32:00 INFO mapreduce.Job:  map 77% reduce 22%
17/03/15 19:32:03 INFO mapreduce.Job:  map 77% reduce 23%
17/03/15 19:32:07 INFO mapreduce.Job:  map 78% reduce 23%
17/03/15 19:32:15 INFO mapreduce.Job:  map 79% reduce 23%
17/03/15 19:32:24 INFO mapreduce.Job:  map 80% reduce 23%
17/03/15 19:32:31 INFO mapreduce.Job:  map 81% reduce 23%
17/03/15 19:32:40 INFO mapreduce.Job:  map 82% reduce 23%
17/03/15 19:32:43 INFO mapreduce.Job:  map 83% reduce 23%
17/03/15 19:32:46 INFO mapreduce.Job:  map 85% reduce 23%
17/03/15 19:32:48 INFO mapreduce.Job:  map 86% reduce 25%
17/03/15 19:33:01 INFO mapreduce.Job:  map 87% reduce 25%
17/03/15 19:33:12 INFO mapreduce.Job:  map 88% reduce 25%
17/03/15 19:33:22 INFO mapreduce.Job:  map 89% reduce 25%
17/03/15 19:33:28 INFO mapreduce.Job:  map 90% reduce 25%
17/03/15 19:33:31 INFO mapreduce.Job:  map 90% reduce 27%
17/03/15 19:33:34 INFO mapreduce.Job:  map 90% reduce 28%
17/03/15 19:33:38 INFO mapreduce.Job:  map 91% reduce 28%
17/03/15 19:33:56 INFO mapreduce.Job:  map 92% reduce 28%
17/03/15 19:34:14 INFO mapreduce.Job:  map 93% reduce 28%
17/03/15 19:34:30 INFO mapreduce.Job:  map 94% reduce 28%
17/03/15 19:34:32 INFO mapreduce.Job:  map 95% reduce 28%
17/03/15 19:34:35 INFO mapreduce.Job:  map 95% reduce 30%
17/03/15 19:34:49 INFO mapreduce.Job:  map 96% reduce 30%
17/03/15 19:35:26 INFO mapreduce.Job:  map 97% reduce 30%
17/03/15 19:35:29 INFO mapreduce.Job:  map 98% reduce 30%
17/03/15 19:35:38 INFO mapreduce.Job:  map 98% reduce 32%
17/03/15 19:35:53 INFO mapreduce.Job:  map 99% reduce 32%
17/03/15 19:36:02 INFO mapreduce.Job:  map 100% reduce 32%
17/03/15 19:36:08 INFO mapreduce.Job:  map 100% reduce 34%
17/03/15 19:36:11 INFO mapreduce.Job:  map 100% reduce 35%
17/03/15 19:36:14 INFO mapreduce.Job:  map 100% reduce 36%
17/03/15 19:36:17 INFO mapreduce.Job:  map 100% reduce 38%
17/03/15 19:36:20 INFO mapreduce.Job:  map 100% reduce 39%
17/03/15 19:36:23 INFO mapreduce.Job:  map 100% reduce 40%
17/03/15 19:36:26 INFO mapreduce.Job:  map 100% reduce 41%
17/03/15 19:36:29 INFO mapreduce.Job:  map 100% reduce 43%
17/03/15 19:36:32 INFO mapreduce.Job:  map 100% reduce 44%
17/03/15 19:36:35 INFO mapreduce.Job:  map 100% reduce 45%
17/03/15 19:36:38 INFO mapreduce.Job:  map 100% reduce 46%
17/03/15 19:36:41 INFO mapreduce.Job:  map 100% reduce 48%
17/03/15 19:36:44 INFO mapreduce.Job:  map 100% reduce 49%
17/03/15 19:36:47 INFO mapreduce.Job:  map 100% reduce 50%
17/03/15 19:36:50 INFO mapreduce.Job:  map 100% reduce 52%
17/03/15 19:36:53 INFO mapreduce.Job:  map 100% reduce 53%
17/03/15 19:36:56 INFO mapreduce.Job:  map 100% reduce 54%
17/03/15 19:36:59 INFO mapreduce.Job:  map 100% reduce 56%
17/03/15 19:37:02 INFO mapreduce.Job:  map 100% reduce 57%
17/03/15 19:37:05 INFO mapreduce.Job:  map 100% reduce 58%
17/03/15 19:37:08 INFO mapreduce.Job:  map 100% reduce 59%
17/03/15 19:37:11 INFO mapreduce.Job:  map 100% reduce 60%
17/03/15 19:37:14 INFO mapreduce.Job:  map 100% reduce 62%
17/03/15 19:37:17 INFO mapreduce.Job:  map 100% reduce 63%
17/03/15 19:37:20 INFO mapreduce.Job:  map 100% reduce 65%
17/03/15 19:37:23 INFO mapreduce.Job:  map 100% reduce 66%
17/03/15 19:37:26 INFO mapreduce.Job:  map 100% reduce 67%
17/03/15 19:37:47 INFO mapreduce.Job:  map 100% reduce 68%
17/03/15 19:38:11 INFO mapreduce.Job:  map 100% reduce 69%
17/03/15 19:38:36 INFO mapreduce.Job:  map 100% reduce 70%
17/03/15 19:38:58 INFO mapreduce.Job:  map 100% reduce 100%
17/03/15 19:38:58 INFO mapreduce.Job: Job job_1488988448355_1187 completed successfully
17/03/15 19:38:58 INFO mapreduce.Job: Counters: 51
	File System Counters
		FILE: Number of bytes read=362594399
		FILE: Number of bytes written=545940401
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		HDFS: Number of bytes read=2694804845
		HDFS: Number of bytes written=46
		HDFS: Number of read operations=63
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=2
	Job Counters 
		Killed map tasks=4
		Launched map tasks=24
		Launched reduce tasks=1
		Data-local map tasks=19
		Rack-local map tasks=5
		Total time spent by all maps in occupied slots (ms)=20279116
		Total time spent by all reduces in occupied slots (ms)=2153936
		Total time spent by all map tasks (ms)=5069779
		Total time spent by all reduce tasks (ms)=538484
		Total vcore-seconds taken by all map tasks=5069779
		Total vcore-seconds taken by all reduce tasks=538484
		Total megabyte-seconds taken by all map tasks=20765814784
		Total megabyte-seconds taken by all reduce tasks=2205630464
	Map-Reduce Framework
		Map input records=163661993
		Map output records=148281528
		Map output bytes=1334533752
		Map output materialized bytes=181288916
		Input split bytes=2980
		Combine input records=0
		Combine output records=0
		Reduce input groups=4
		Reduce shuffle bytes=181288916
		Reduce input records=148281528
		Reduce output records=4
		Spilled Records=444844584
		Shuffled Maps =20
		Failed Shuffles=0
		Merged Map outputs=20
		GC time elapsed (ms)=17900
		CPU time spent (ms)=3680530
		Physical memory (bytes) snapshot=15583547392
		Virtual memory (bytes) snapshot=82255351808
		Total committed heap usage (bytes)=12213288960
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=2694801865
	File Output Format Counters 
		Bytes Written=46
